,Job_ID,Type,Skill_Name,Min_monthly_salary,Max_monthly_salary,Inferred,Industry_ID,Industry_Name,Salary_ID
0,3690843087,Medical insurance,Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
1,3690843087,Dental insurance,Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
2,3690843087,401(k),Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
3,3690843087,Paid maternity leave,Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
4,3690843087,Disability insurance,Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
5,3690843087,Vision insurance,Accounting/Auditing,4583.33,5416.67,0,47,Accounting,2
6,3700111693,Medical insurance,Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
7,3700111693,Vision insurance,Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
8,3700111693,Dental insurance,Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
9,3700111693,401(k),Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
10,3700111693,Paid paternity leave,Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
11,3700111693,Paid maternity leave,Accounting/Auditing,5833.33,7083.33,0,47,Accounting,28
12,3693042975,401(k),Accounting/Auditing,10416.67,14583.33,1,47,Accounting,249
13,3693044456,Medical insurance,Accounting/Auditing,15000.0,18333.33,0,47,Accounting,327
14,3693044456,Vision insurance,Accounting/Auditing,15000.0,18333.33,0,47,Accounting,327
15,3693044456,Dental insurance,Accounting/Auditing,15000.0,18333.33,0,47,Accounting,327
16,3693044456,401(k),Accounting/Auditing,15000.0,18333.33,0,47,Accounting,327
17,3693046595,401(k),Accounting/Auditing,9583.33,11250.0,1,47,Accounting,538
18,3693047121,Medical insurance,Accounting/Auditing,6666.67,8333.33,0,47,Accounting,581
19,3693047121,Vision insurance,Accounting/Auditing,6666.67,8333.33,0,47,Accounting,581
20,3693047121,Dental insurance,Accounting/Auditing,6666.67,8333.33,0,47,Accounting,581
21,3693047121,401(k),Accounting/Auditing,6666.67,8333.33,0,47,Accounting,581
22,3693047412,Medical insurance,Accounting/Auditing,5416.67,7916.67,0,47,Accounting,616
